type,noise,compressed,iter,size
initial,1,0,0,977
initial,1,1,0,19
partitioned,1,0,4,987
partitioned,1,0,3,981
partitioned,1,0,2,979
partitioned,1,0,1,979
partitioned,1,0,0,979
partitioned,1,1,4,13
partitioned,1,1,3,10
partitioned,1,1,2,10
partitioned,1,1,1,10
partitioned,1,1,0,14
initial,2,0,0,977
initial,2,1,0,28
partitioned,2,0,0,979
partitioned,2,0,1,979
partitioned,2,0,2,982
partitioned,2,1,0,21
partitioned,2,1,1,15
partitioned,2,1,2,16
initial,5,0,0,977
initial,5,1,0,49
partitioned,5,0,0,979
partitioned,5,0,1,980
partitioned,5,1,0,39
partitioned,5,1,1,28
initial,10,0,0,977
initial,10,1,0,72
partitioned,10,0,0,979
partitioned,10,0,1,979
partitioned,10,1,0,56
partitioned,10,1,1,41
initial,25,0,0,977
initial,25,1,0,108
partitioned,25,0,0,979
partitioned,25,0,1,979
partitioned,25,1,0,88
partitioned,25,1,1,69
initial,50,0,0,977
initial,50,1,0,120
partitioned,50,0,0,979
partitioned,50,0,1,981
partitioned,50,1,0,106
partitioned,50,1,1,97
initial,0,0,0,977
initial,0,1,0,9
partitioned,0,0,0,979
partitioned,0,0,1,979
partitioned,0,1,0,5
partitioned,0,1,1,5
